Town	num_pos	num_neg	num_unclear	percent_pos
Aaba	8	46	0	14.8148148148148
Aachach	1	10	0	9.09090909090909
Aachqout	0	2	0	0
Aadbil	0	1	0	0
Aafsdiq	1	53	1	1.85185185185185
Aaintourine	0	4	0	0
Aajaltoun	2	11	0	15.3846153846154
Aaley	0	13	0	0
Aalma	9	13	0	40.9090909090909
Aamaret Chalhoub	0	3	0	0
Aamchit	0	10	0	0
Aammiq (Chouf)	0	1	0	0
Aandqet	0	1	0	0
Aaoura	0	2	0	0
Aaqaybeh	0	1	0	0
Aaraiya	0	1	0	0
Aaramoun (Aaley)	0	9	0	0
Aarbet Qouzhaiya	1	6	0	14.2857142857143
Aarida (Aakkar)	0	1	0	0
Aarjes	10	20	0	33.3333333333333
Aartiz	0	1	0	0
Aatchaneh	0	3	0	0
Aaymar	1	0	0	100
Aaynab	0	1	0	0
Aayoun (Matn)	0	1	0	0
Aayroun	0	1	0	0
Aaytat	0	4	0	0
Aazqai	0	1	0	0
Abou Mizane	1	2	0	33.3333333333333
Achrafieh	4	45	1	8.16326530612245
Adma Oua Dafneh	0	2	0	0
Ain Aakrine	0	9	0	0
Ain Aalaq	3	13	1	18.75
Ain Aanoub	0	4	0	0
Ain Aar	3	7	1	30
Ain El Kharroubeh	13	100	0	11.5044247787611
Ain El Qabou	10	11	1	47.6190476190476
Ain el-Mraiseh	0	2	0	0
Ain Er Roummaneh (Aaley)	0	1	0	0
Ain Er Roummaneh (Chiyah)	0	3	0	0
Ain Es Sindianeh	0	2	0	0
Ain Es Sofsaf	0	1	0	0
Ain Et Teffaha	0	12	0	0
Ain Ez Zeitouneh	0	2	0	0
Ain Ouzain	0	1	0	0
Ain Saadeh	1	11	0	8.33333333333333
Ain Trez	0	1	0	0
Aintoura (Matn)	0	2	0	0
Amioun	37	324	3	10.2493074792244
Antelias	0	16	0	0
Ardeh	28	78	3	26.4150943396226
Aslout	0	2	0	0
Asnoun	6	15	0	28.5714285714286
Assia	0	2	0	0
Aytou	2	30	1	6.25
Baabda	0	8	0	0
Baabdat	2	10	0	16.6666666666667
Baaouerta	0	1	0	0
Baaqline	1	1	0	50
Bachoura	0	2	0	0
Bakhaaoun	0	1	0	0
Bakkifa (Rachaiya)	0	1	0	0
Ballouneh	0	2	0	0
Baouchriyeh	2	13	0	13.3333333333333
Barja	0	1	0	0
Barsa	8	18	0	30.7692307692308
Baskinta	4	12	0	25
Baslouqit	2	12	1	14.2857142857143
Batroumine	8	59	3	11.9402985074627
Batroun	0	121	0	0
Bayssour (Aaley)	0	9	0	0
Bazaaoun	0	3	0	0
Bazyoun	1	1	0	50
Bchamoun	0	2	0	0
Bchannine	0	1	0	0
Bcharre	1	2	0	33.3333333333333
Bcheaali	0	18	0	0
Bdebba	0	19	0	0
Bechmizzine	15	98	1	13.2743362831858
Beddaoui	3	1	0	75
Bednayel (Baalbek)	0	1	0	0
Bednayel (El-Koura)	7	11	0	38.8888888888889
Behouaita	0	1	0	0
Beino	0	2	0	0
Beirut Central District	0	4	0	0
Beit Aaoukar	1	4	0	20
Beit Chabab	5	25	2	16.6666666666667
Beit Chlala	0	1	0	0
Beit Ech Chaar	2	6	0	25
Beit El Kekko	0	1	0	0
Beit Meri	0	10	1	0
Beqaatet Aachqout	0	1	0	0
Berbara	0	1	0	0
Berhalioun	0	1	0	0
Bhabbouch	2	4	0	33.3333333333333
Bhayri	2	13	1	13.3333333333333
Bhersaf	2	11	0	15.3846153846154
Bijdarfil	0	6	0	0
Bikfaya	12	77	4	13.4831460674157
Bkeftine	0	6	0	0
Blat	0	1	0	0
Blaybel	0	1	1	0
Bnehran	0	9	0	0
Bneshaai	1	6	0	14.2857142857143
Boqsmaiya	0	3	0	0
Borj El Brajneh	0	3	0	0
Borj Hammoud	1	11	0	8.33333333333333
Bouar	0	0	1	NA
Boussit	0	1	0	0
Boutchay	0	1	0	0
Bqerzla	0	3	0	0
Broummana	2	8	0	20
Bsaba (Baabda)	0	2	0	0
Bsalim	2	14	0	12.5
Bsarma	1	37	0	2.63157894736842
Bsebaal	3	59	0	4.83870967741935
Btaaboura	1	15	0	6.25
Btater	0	1	0	0
Bteghrine	4	10	1	28.5714285714286
Btekhnay	0	2	0	0
Bterram	18	133	1	11.9205298013245
Btouratij	11	32	0	25.5813953488372
Byaqout	0	3	0	0
Bzebdine	0	1	0	0
Bziza	10	32	0	23.8095238095238
Chaouiyeh El Qnaytra	1	2	0	33.3333333333333
Charbila	5	58	0	7.93650793650794
Cheikh Mohammad	0	3	0	0
Cheikh Taba	0	2	0	0
Chekka	79	348	0	18.5011709601874
Chhim	0	1	0	0
Chibtine	0	7	0	0
Chiyah	0	2	0	0
Chouaya	0	9	0	0
Choueifat	0	8	0	0
Choueir	0	7	0	0
Chrine	0	16	0	0
Dahr El Ahmar	0	1	0	0
Dahr El Ain	3	40	0	6.97674418604651
Dahr Es Souane	0	1	0	0
Daoura (Aakkar)	0	3	0	0
Dar Baaechtar	3	54	0	5.26315789473684
Dar Chmizzine	3	16	0	15.7894736842105
Daraaoun	0	1	0	0
Daraiya (Chouf)	0	2	0	0
Daraiya (Kesrouane)	2	27	0	6.89655172413793
Daraiya (Zgharta)	2	12	0	14.2857142857143
Daychouniyeh	0	3	1	0
Dbayeh	1	48	0	2.04081632653061
Deddeh	54	229	1	19.0812720848057
Deir Aammar	0	5	0	0
Deir Billa	0	1	0	0
Deir Chamra	0	1	0	0
Deir El Harf	0	1	0	0
Deir Mar Roukoz	0	3	0	0
Deir Nbouh	1	1	0	50
Deir Qoubel	0	1	0	0
