Result	Num_symptoms	n	percent
Negative	0	5455	57.4331438197515
Negative	1	800	8.42282585807538
Negative	2	595	6.26447673194357
Negative	3	497	5.23268056432933
Negative	4	420	4.42198357548958
Negative	5	353	3.71657190987576
Negative	6	267	2.81111813013266
Negative	7	228	2.40050536955148
Negative	8	146	1.53716571909876
Negative	9	135	1.42135186355022
Negative	10	169	1.77932196251843
Negative	11	100	1.05285323225942
Negative	12	58	0.610654874710465
Negative	13	83	0.873868182775321
Negative	14	38	0.400084228258581
Negative	15	154	1.62139397767951
Positive	0	456	35.9905288082084
Positive	1	89	7.02446724546172
Positive	2	105	8.28729281767956
Positive	3	102	8.05051302288871
Positive	4	82	6.47198105761642
Positive	5	77	6.07734806629834
Positive	6	76	5.99842146803473
Positive	7	54	4.2620363062352
Positive	8	63	4.97237569060773
Positive	9	47	3.7095501183899
Positive	10	28	2.20994475138122
Positive	11	22	1.73638516179953
Positive	12	23	1.81531176006314
Positive	13	14	1.10497237569061
Positive	14	7	0.552486187845304
Positive	15	22	1.73638516179953
